R_fighter,B_fighter,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs
Shane Burgos,Godofredo Pepey,USA,Red,FALSE,Featherweight,MALE,3,0,1,0,1.477.777.778,415.555.556,888.888.889,222.222.222,111.111.111,3,4,15,1,0,1,0,1,3,0,5,170.18,185.42,145,0,2,0,75.0,0.42,0.0,0.5,0.5,2,0,6,0,0,0,1,1,0,0,2,180.34,190.5,145,26,30,0,-1,1,3,-4,9,1,0,3,-10.16,-5.08,-4,-6.022.222.222,888.888.889,-277.777.778,,neither,U-DEC,,3.0,05:00,900.0
Frankie Perez,Chris Wade,USA,Blue,FALSE,Lightweight,MALE,3,2,0,0,19.0,396.666.667,666.666.667,1.833.333.333,501.666.667,4,2,14,0,0,0,2,0,2,0,4,177.8,177.8,155,1,0,0,16.0,533.333.333,333.333.333,666.666.667,193.333.333,1,2,7,0,0,0,0,1,0,0,1,180.34,185.42,155,28,29,-1,0,3,3,0,7,0,-1,2,-2.54,-7.62,-1,3.0,333.333.334,1.166.666.666,,neither,U-DEC,,3.0,05:00,900.0
Gunnar Nelson,Santiago Ponzinibbio,United Kingdom,Blue,FALSE,Welterweight,MALE,5,0,4,0,39.375,0.4,0.0,125,4.125,4,2,17,0,0,0,3,3,0,0,6,182.88,185.42,170,0,2,0,1.977.777.778,621.111.111,777.777.778,1.111.111.111,694.444.444,4,2,20,0,0,0,1,0,6,0,7,180.34,182.88,170,28,30,0,2,0,-1,0,-3,0,3,-6,2.54,2.54,-2,1.959.722.222,-777.777.778,-986.111.111,,Red,KO/TKO,Punches,1.0,01:22,82.0
Joanne Calderwood,Cynthia Calvillo,United Kingdom,Blue,FALSE,Women's Strawweight,FEMALE,3,0,2,0,31.5,395,3.0,1.0,1.0,2,0,4,0,0,0,0,0,2,0,2,162.56,162.56,115,1,0,0,67.6,524,0.0,1.6,0.35,2,2,11,0,0,0,2,1,0,0,3,167.64,165.1,125,31,30,1,2,0,-1,2,-7,0,-1,2,-5.08,-2.54,1,-36.1,3.0,-0.6,,Red,U-DEC,,3.0,05:00,900.0
Stevie Ray,Paul Felder,United Kingdom,Blue,FALSE,Lightweight,MALE,3,0,1,0,41.75,41.375,375,375,1.875,2,3,21,0,0,1,1,2,1,0,5,180.34,177.8,155,0,2,0,43.0,448.333.333,666.666.667,333.333.333,221.666.667,3,1,15,0,1,1,1,2,0,0,5,177.8,177.8,155,27,33,0,-1,-1,0,-2,6,0,0,1,2.54,0.0,-6,-1.25,-291.666.667,41.666.667,,neither,KO/TKO,Elbow,1.0,03:57,237.0
Jack Marshman,Ryan Janes,United Kingdom,Red,FALSE,Middleweight,MALE,3,1,0,0,42.5,375,0.0,0.5,0.5,1,1,4,0,0,0,1,0,0,0,1,190.5,193.04,185,1,0,0,24.0,295,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,182.88,185.42,185,27,35,0,0,0,0,0,0,0,-1,0,7.62,7.62,-8,18.5,0.0,0.5,,neither,U-DEC,,3.0,05:00,900.0
Khalil Rountree Jr.,Paul Craig,United Kingdom,Red,FALSE,Light Heavyweight,MALE,3,1,0,0,21.5,565,1.5,0.5,0.25,1,1,3,0,0,0,0,0,1,0,1,190.5,193.04,205,0,1,0,6.666.666.667,643.333.333,0.0,0.0,0.0,1,2,5,1,0,0,0,1,0,0,1,185.42,193.04,205,27,29,-1,-1,0,0,1,-2,-1,-1,1,05.08,0.0,-2,1.483.333.333,1.5,0.5,,neither,KO/TKO,Punch,1.0,04:56,296.0
James Mulheron,Justin Willis,United Kingdom,Blue,FALSE,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,185.42,198.12,264,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,243,29,29,0,0,0,0,0,0,0,0,0,7.62,12.7,0,0.0,0.0,0.0,,neither,U-DEC,,3.0,05:00,900.0
Danny Roberts,Bobby Nash,United Kingdom,Red,FALSE,Welterweight,MALE,3,1,0,0,39.0,0.36,2.0,1.0,0.25,0,1,2,0,0,0,0,0,0,0,0,182.88,187.96,170,1,0,0,49.0,0.39,333.333.333,0.0,0.0,2,1,7,0,0,0,1,0,1,0,2,185.42,187.96,170,30,27,0,0,-2,-2,0,-5,0,0,-1,-2.54,0.0,3,-10.0,1.666.666.667,1.0,,neither,KO/TKO,Punch,2.0,03:59,539.0
Alexandre Pantoja,Neil Seery,United Kingdom,Red,FALSE,Flyweight,MALE,3,1,0,0,4.366.666.667,406.666.667,1.666.666.667,833.333.333,288.333.333,2,3,17,0,0,0,2,0,1,0,3,162.56,162.56,125,0,1,0,37.0,0.37,2.0,1.0,0.33,1,0,3,0,0,1,0,0,0,0,1,165.1,170.18,125,27,37,-1,-1,1,2,-3,14,0,0,1,-2.54,-7.62,-10,666.666.667,-333.333.333,-166.666.667,,Red,SUB,Rear Naked Choke,3.0,02:31,751.0
Charlie Ward,Galore Bofando,United Kingdom,Blue,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,182.88,170,1,0,0,2.0,0.14,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,180.34,185.42,170,36,35,1,0,0,0,1,-1,0,0,0,0.0,-2.54,1,-2.0,0.0,0.0,,neither,KO/TKO,Slam,1.0,02:10,130.0
Danny Henry,Daniel Teymur,United Kingdom,Red,FALSE,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,165.1,175.26,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,182.88,185.42,145,28,29,0,0,0,0,0,0,0,0,0,-17.78,-10.16,-1,0.0,0.0,0.0,,neither,U-DEC,,3.0,05:00,900.0
Brett Johns,Albert Morales,United Kingdom,Red,FALSE,Bantamweight,MALE,3,0,1,0,51.0,333.333.333,0.0,666.666.667,276.666.667,1,2,8,0,0,1,0,0,0,0,1,175.26,182.88,135,0,1,0,49.0,0.61,0.0,11.0,0.73,1,0,3,0,0,0,1,0,0,0,1,170.18,180.34,135,25,26,0,0,0,0,-2,5,0,0,0,05.08,2.54,-1,2.0,0.0,-1.033.333.333,,neither,U-DEC,,3.0,05:00,900.0
Leslie Smith,Amanda Lemos,United Kingdom,Red,FALSE,Women's Bantamweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,162.56,165.1,135,0,1,0,6.266.666.667,365,0.0,0.0,0.0,1,3,13,0,0,0,2,1,0,0,3,175.26,167.64,135,34,30,0,-1,-1,-3,3,-13,0,-1,0,-12.7,-2.54,4,-6.266.666.667,0.0,0.0,,neither,KO/TKO,Elbows,2.0,02:53,473.0
Yoel Romero,Robert Whittaker,USA,Blue,TRUE,Middleweight,MALE,5,0,7,0,52.0,451.818.182,0.0,363.636.364,272.727.273,7,2,25,1,0,0,4,5,0,0,9,182.88,185.42,185,0,8,0,37.25,5.975,0.0,1.625,31.125,8,0,22,0,0,1,1,6,0,0,8,182.88,185.42,185,40,26,0,-1,-1,1,-2,3,1,-1,0,0.0,0.0,14,14.75,0.0,-1.261.363.636,,Red,U-DEC,,5.0,05:00,1500.0
Fabricio Werdum,Alistair Overeem,USA,Blue,FALSE,Heavyweight,MALE,3,0,1,0,3.554.545.455,737.272.727,90.909.091,272.727.273,227.272.727,4,4,21,1,0,0,2,5,0,0,7,193.04,203.2,265,0,1,0,4.841.666.667,585,0.25,0.5,138.333.333,6,3,27,3,0,0,3,4,2,0,9,193.04,195.58,231,39,37,0,0,-2,-2,-1,-6,-2,1,-2,0.0,7.62,2,-1.287.121.212,-159.090.909,-227.272.727,,Red,M-DEC,,3.0,05:00,900.0
Daniel Omielanczuk,Curtis Blaydes,USA,Blue,FALSE,Heavyweight,MALE,3,1,0,0,3.366.666.667,0.6,0.0,5.0,653.333.333,1,2,6,0,0,0,0,1,0,0,1,193.04,203.2,265,2,0,0,35.125,0.65,125,0.5,21.625,3,4,21,0,2,0,0,2,0,0,4,182.88,187.96,247,34,26,1,0,-2,-3,2,-15,0,-1,0,10.16,15.24,8,-145.833.333,-125,4.5,,Red,U-DEC,,3.0,05:00,900.0
Anthony Pettis,Jim Miller,USA,Red,FALSE,Lightweight,MALE,3,1,0,0,2.992.307.692,365.769.231,1.5,1.230.769.231,428.846.154,7,9,62,0,0,2,6,3,6,0,17,172.72,180.34,155,1,0,0,3.318.181.818,454.545.455,363.636.364,545.454.545,0.06,5,5,28,4,0,1,0,2,3,0,6,177.8,182.88,170,30,33,0,0,2,11,-4,34,-4,1,3,-5.08,-2.54,-3,-325.874.126,1.136.363.636,685.314.686,,neither,U-DEC,,3.0,05:00,900.0
Rob Font,Douglas Silva de Andrade,USA,Red,FALSE,Bantamweight,MALE,3,0,2,0,46.0,336.666.667,0.0,333.333.333,333.333.333,2,1,9,0,0,0,1,1,0,0,2,170.18,172.72,135,0,1,0,32.5,0.53,0.25,0.5,0.3,2,1,7,0,0,0,0,3,0,0,3,172.72,180.34,135,30,32,0,1,0,-1,0,2,0,-2,0,-2.54,-7.62,-2,13.5,-0.25,-166.666.667,,Red,SUB,Guillotine Choke,2.0,04:36,576.0
Travis Browne,Aleksei Oleinik,USA,Blue,FALSE,Heavyweight,MALE,3,0,1,0,9.5,0.45,1.0,1.25,205,2,1,6,0,0,0,0,1,2,0,3,187.96,203.2,240,3,0,0,228.125,46.375,125,625,30.125,3,7,29,0,0,0,1,7,1,0,9,198.12,200.66,255,34,40,3,1,-1,-6,6,-23,0,-6,1,-10.16,2.54,-6,-133.125,875,625,,Red,SUB,Rear Naked Choke,2.0,03:44,524.0
Chad Laprise,Brian Camozzi,USA,Red,FALSE,Welterweight,MALE,3,1,0,0,11.0,0.31,1.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,187.96,198.12,170,0,1,0,4.883.333.333,435,0.0,666.666.667,95,3,2,14,1,0,1,2,1,0,0,4,177.8,180.34,170,30,26,-1,-1,-3,-4,1,-12,-1,-1,0,10.16,17.78,4,-3.783.333.333,1.0,-666.666.667,,neither,KO/TKO,Punch,3.0,01:27,687.0
Thiago Santos,Gerald Meerschaert,USA,Red,FALSE,Middleweight,MALE,3,0,2,0,8.5,455,1.0,0.0,0.0,2,0,2,0,0,0,0,0,2,0,2,185.42,195.58,185,0,1,0,17.6,419,0.0,0.2,0.1,4,4,15,0,0,0,1,5,0,0,6,187.96,193.04,205,33,29,0,1,-2,-4,4,-13,0,-5,2,-2.54,2.54,4,-9.1,1.0,-0.2,,neither,KO/TKO,Punches,2.0,02:04,424.0
Jordan Mein,Belal Muhammad,USA,Blue,FALSE,Welterweight,MALE,3,0,1,0,54.25,395,0.0,1.75,0.35,1,2,10,0,0,0,1,1,0,0,2,180.34,182.88,170,2,0,0,30.0,513.333.333,0.0,1.166.666.667,266.666.667,2,3,12,0,0,1,0,2,0,0,3,182.88,185.42,170,27,28,2,1,-1,-1,1,-2,0,-1,0,-2.54,-2.54,-1,24.25,0.0,583.333.333,,neither,U-DEC,,3.0,05:00,900.0
Cody Stamann,Terrion Ware,USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,172.72,180.34,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,167.64,162.56,135,27,31,0,0,0,0,0,0,0,0,0,05.08,17.78,-4,0.0,0.0,0.0,,neither,U-DEC,,3.0,05:00,900.0
Trevin Giles,James Bochnovic,USA,Red,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,193.04,205.74,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,182.88,187.96,185,24,28,0,0,0,0,0,0,0,0,0,10.16,17.78,-4,0.0,0.0,0.0,,neither,KO/TKO,Punch,2.0,02:54,474.0
Michael Johnson,Justin Gaethje,USA,Blue,FALSE,Lightweight,MALE,5,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,180.34,177.8,155,1,0,0,426.875,339.375,625,4.375,328.125,4,7,40,1,0,0,5,4,0,0,9,177.8,185.42,145,31,28,1,0,-4,-9,7,-40,-1,-4,0,2.54,-7.62,3,-426.875,-625,-4.375,,Red,KO/TKO,Knees,2.0,04:48,588.0
Dhiego Lima,Jesse Taylor,USA,Blue,TRUE,Welterweight,MALE,4,1,0,0,4.0,0.3,0.0,1.0,0.33,0,1,1,0,0,0,0,0,0,0,0,182.88,185.42,170,2,0,0,22.0,4.175,1.0,1.5,1.875,1,3,6,1,0,0,1,0,0,0,1,187.96,187.96,170,28,34,1,0,-1,-1,2,-5,-1,0,0,-5.08,-2.54,-6,-18.0,-1.0,-0.5,,neither,SUB,Rear Naked Choke,2.0,00:43,343.0
Jared Cannonier,Nick Roehrick,USA,Red,FALSE,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,187.96,190.5,205,1,0,0,29.25,0.59,0.0,0.0,0.0,2,2,8,0,0,0,1,1,0,0,2,180.34,195.58,185,33,30,1,0,-2,-2,2,-8,0,-1,0,7.62,-5.08,3,-29.25,0.0,0.0,,neither,KO/TKO,Elbows,3.0,02:08,728.0
Brad Tavares,Elias Theodorou,USA,Red,FALSE,Middleweight,MALE,3,0,2,0,43.0,385,0.0,1.666.666.667,373.333.333,3,1,16,1,0,0,3,2,0,0,5,185.42,190.5,185,0,1,0,3.915.384.615,416.923.077,0.0,1.076.923.077,233.846.154,5,4,34,0,0,2,6,1,0,0,9,185.42,187.96,185,29,29,0,1,-2,-4,3,-18,1,1,0,0.0,2.54,0,384.615.385,0.0,58.974.359,,neither,U-DEC,,3.0,05:00,900.0
Jordan Johnson,Marcel Fortuna,USA,Red,FALSE,Light Heavyweight,MALE,3,0,1,0,15.0,0.5,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,185.42,187.96,205,0,1,0,39.0,0.58,2.0,4.0,0.8,1,0,3,0,0,0,1,0,0,0,1,187.96,200.66,205,28,31,0,0,0,0,0,-2,0,1,0,-2.54,-12.7,-3,-24.0,-2.0,-4.0,,neither,U-DEC,,3.0,05:00,900.0
Angela Hill,Ashley Yoder,USA,Red,FALSE,Women's Strawweight,FEMALE,3,1,0,0,44.0,0.37,0.0,1.0,0.5,0,1,3,0,0,0,0,0,0,0,0,170.18,175.26,115,3,0,0,58.75,505,0.0,0.0,0.0,1,3,10,0,0,0,1,0,0,0,1,160.02,162.56,115,32,29,2,0,-1,-1,2,-7,0,0,0,10.16,12.7,3,-14.75,0.0,1.0,,neither,U-DEC,,3.0,05:00,900.0
James Krause,Tom Gallicchio,USA,Red,FALSE,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,170,0,2,0,4.885.714.286,452.857.143,571.428.571,571.428.571,234.285.714,2,3,15,0,0,0,1,1,2,0,4,187.96,185.42,170,31,30,0,-2,-2,-4,3,-15,0,-1,-2,-10.16,0.0,1,-4.885.714.286,-571.428.571,-571.428.571,,neither,U-DEC,,3.0,05:00,900.0
Ed Herman,CB Dollaway,USA,Blue,FALSE,Light Heavyweight,MALE,3,3,0,0,2.147.058.824,434.705.882,529.411.765,1.823.529.412,411.764.706,3,8,33,1,0,1,4,2,2,0,9,187.96,193.04,185,1,0,0,2.715.789.474,497.368.421,684.210.526,1.631.578.947,466.842.105,3,9,41,1,0,1,2,3,4,0,10,185.42,195.58,205,36,33,-2,0,0,-1,1,-8,0,-1,-2,2.54,-2.54,3,-56.873.065,-154.798.761,191.950.465,,neither,U-DEC,,3.0,05:00,900.0
Tecia Torres,Juliana Lima,USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,1,0,32.4,478,0.0,1.8,396,2,2,15,0,0,0,3,0,0,0,3,165.1,165.1,115,0,1,0,69.4,474,0.0,0.8,332,3,1,15,0,0,0,4,0,0,0,4,154.94,152.4,115,27,35,0,0,-1,-1,-1,0,0,0,0,10.16,12.7,-8,-37.0,0.0,1.0,,Red,SUB,Rear Naked Choke,2.0,00:53,353.0
Gray Maynard,Teruto Ishihara,USA,Red,FALSE,Featherweight,MALE,3,1,0,0,44.0,0.49,0.0,0.0,0.0,2,2,9,0,0,0,0,2,0,0,2,170.18,175.26,135,1,0,0,2.577.777.778,363.333.333,555.555.556,2.166.666.667,419.444.444,8,8,51,2,0,3,6,1,0,0,10,175.26,177.8,155,38,25,0,0,-6,-8,6,-42,-2,1,0,-5.08,-2.54,13,1.822.222.222,-555.555.556,-2.166.666.667,,neither,U-DEC,,3.0,05:00,900.0
Michael Chiesa,Kevin Lee,USA,Blue,FALSE,Lightweight,MALE,5,0,4,0,36.6,419,1.0,2.4,383,4,2,22,0,0,1,3,1,3,0,8,175.26,195.58,170,0,3,0,1.966.666.667,377.777.778,888.888.889,1.666.666.667,447.777.778,3,2,19,1,0,0,2,0,5,0,7,185.42,190.5,170,29,24,0,1,1,1,0,3,-1,1,-2,-10.16,05.08,5,1.693.333.333,111.111.111,733.333.333,,Red,SUB,Rear Naked Choke,1.0,04:37,277.0
Tim Boetsch,Johny Hendricks,USA,Red,FALSE,Middleweight,MALE,3,0,1,0,4.463.157.895,523.157.895,315.789.474,3.210.526.316,325.789.474,6,6,52,3,1,2,5,5,0,0,13,175.26,175.26,185,1,0,0,26.0,513.809.524,523.809.524,1.0,187.619.048,4,10,45,0,0,2,3,6,0,0,11,182.88,187.96,185,36,33,1,1,2,2,4,7,3,-1,0,-7.62,-12.7,3,1.863.157.895,-20.802.005,2.210.526.316,,neither,KO/TKO,Punches,2.0,00:46,346.0
Felice Herrig,Justine Kish,USA,Red,FALSE,Women's Strawweight,FEMALE,3,0,2,0,61.5,0.5,0.5,2.0,0.65,2,0,6,0,0,0,2,0,0,0,2,165.1,162.56,125,0,2,0,27.25,4.575,1.25,1.0,625,2,1,9,0,0,0,1,0,2,0,3,162.56,165.1,115,32,29,0,0,0,-1,1,-3,0,0,-2,2.54,-2.54,3,34.25,-0.75,1.0,,Red,U-DEC,,3.0,05:00,900.0
Tim Means,Alex Garcia,USA,Red,FALSE,Welterweight,MALE,3,0,1,0,2.266.666.667,0.37,0.0,3.333.333.333,0.51,2,2,14,0,0,1,1,2,0,0,4,175.26,182.88,170,2,0,0,4.064.285.714,513.571.429,142.857.143,571.428.571,0.25,4,6,31,0,0,1,2,4,1,0,8,187.96,190.5,170,33,29,2,1,-2,-4,4,-17,0,-2,-1,-12.7,-7.62,4,-1.797.619.047,-142.857.143,2.761.904.762,,neither,U-DEC,,3.0,05:00,900.0
BJ Penn,Dennis Siver,USA,Blue,FALSE,Featherweight,MALE,3,2,0,0,38.3,3.385,0.25,0.65,2.825,4,9,47,0,0,0,6,3,2,0,11,167.64,177.8,145,5,0,0,3.645.833.333,535,0.5,1.083.333.333,3.425,3,12,70,11,0,0,1,6,4,1,12,175.26,177.8,155,38,38,3,0,1,-1,3,-23,-11,-4,-2,-7.62,0.0,0,184.166.667,-0.25,-433.333.333,,neither,M-DEC,,3.0,05:00,900.0
Clay Guida,Erik Koch,USA,Red,FALSE,Lightweight,MALE,3,0,1,0,1.842.857.143,378.571.429,857.142.857,285.714.286,71.428.571,2,3,13,0,0,0,1,2,1,0,4,177.8,180.34,155,2,0,0,2.873.913.043,343.913.043,608.695.652,2.652.173.913,376.521.739,4,11,62,0,0,3,4,1,4,0,12,170.18,177.8,155,35,28,2,1,-2,-8,8,-49,0,1,-3,7.62,2.54,7,-10.310.559,248.447.205,-2.366.459.627,,neither,U-DEC,,3.0,05:00,900.0
Vitor Miranda,Marvin Vettori,USA,Blue,FALSE,Middleweight,MALE,3,1,0,0,19.5,0.56,1.0,1.0,1.0,1,1,4,0,0,0,0,0,1,0,1,182.88,187.96,185,1,0,0,33.0,558,0.0,0.4,0.3,3,2,11,1,0,0,0,3,0,0,3,185.42,195.58,185,38,23,0,0,-2,-2,1,-7,-1,-3,1,-2.54,-7.62,15,-13.5,1.0,0.6,,neither,U-DEC,,3.0,05:00,900.0
Devin Powell,Darrell Horcher,USA,Blue,FALSE,Lightweight,MALE,3,1,0,0,6.0,0.22,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,177.8,177.8,155,1,0,0,22.0,0.27,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,182.88,185.42,155,29,29,0,0,0,0,0,-1,0,0,0,-5.08,-7.62,0,-16.0,0.0,0.0,,neither,S-DEC,,3.0,05:00,900.0
Jared Gordon,Michel Quinones,USA,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,177.8,185.42,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,175.26,172.72,155,28,32,0,0,0,0,0,0,0,0,0,2.54,12.7,-4,0.0,0.0,0.0,,neither,KO/TKO,Punches,2.0,04:24,564.0
Anthony Rocco Martin,Johnny Case,USA,Red,FALSE,Lightweight,MALE,3,1,0,0,44.2,374,0.0,1.8,306,4,1,14,0,0,0,2,1,1,0,4,177.8,182.88,155,0,2,0,24.5,0.38,833.333.333,1.166.666.667,0.33,2,3,14,0,0,0,1,0,2,0,3,182.88,185.42,170,27,27,-1,-2,2,1,2,0,0,1,-1,-5.08,-2.54,0,19.7,-833.333.333,633.333.333,,neither,U-DEC,,3.0,05:00,900.0
Josh Stansbury,Jeremy Kimball,USA,Blue,FALSE,Light Heavyweight,MALE,3,1,0,0,5.0,0.29,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,182.88,182.88,205,1,0,0,48.5,555,1.0,0.0,0.0,1,1,6,0,1,0,0,0,0,0,1,187.96,187.96,205,32,26,0,0,-1,-1,0,-5,0,0,0,-5.08,-5.08,6,-43.5,-1.0,0.0,,neither,KO/TKO,Punches,1.0,01:21,81.0
Holly Holm,Bethe Correia,Singapore,Red,FALSE,Women's Bantamweight,FEMALE,5,1,0,0,5.585.714.286,497.142.857,0.0,428.571.429,107.142.857,3,3,18,1,0,2,1,1,0,0,4,165.1,162.56,135,3,0,0,5.616.666.667,391.666.667,0.0,333.333.333,333.333.333,3,3,23,3,0,1,1,1,0,0,3,172.72,175.26,145,35,33,2,0,0,1,0,-5,-2,0,0,-7.62,-12.7,2,-30.952.381,0.0,95.238.096,,Red,KO/TKO,Kick,3.0,01:09,669.0
Andrei Arlovski,Marcin Tybura,Singapore,Blue,FALSE,Heavyweight,MALE,3,0,2,0,3.766.666.667,486.666.667,0.0,666.666.667,276.666.667,2,1,8,0,0,0,0,2,0,0,2,190.5,198.12,249,4,0,0,2.136.363.636,457.272.727,227.272.727,136.363.636,113.636.364,7,8,41,5,0,1,2,9,2,0,14,190.5,195.58,240,38,31,4,2,-5,-12,7,-33,-5,-7,-2,0.0,2.54,7,1.630.303.031,-227.272.727,530.303.031,,Red,U-DEC,,3.0,05:00,900.0
Dong Hyun Kim,Colby Covington,Singapore,Blue,FALSE,Welterweight,MALE,3,0,3,0,2.614.285.714,592.857.143,285.714.286,4.714.285.714,574.285.714,3,1,17,0,0,0,2,2,2,0,6,180.34,182.88,170,0,3,0,2.382.352.941,523.529.412,470.588.235,2.176.470.588,445.882.353,4,4,42,0,0,2,6,4,1,0,13,187.96,193.04,170,35,29,0,0,-1,-7,3,-25,0,-2,1,-7.62,-10.16,6,231.932.773,-184.873.949,2.537.815.126,,Red,U-DEC,,3.0,05:00,900.0
Tarec Saffiedine,Rafael Dos Anjos,Singapore,Blue,FALSE,Welterweight,MALE,3,2,0,0,3.871.428.571,418.571.429,571.428.571,1.857.142.857,32.047.619,5,7,55,3,0,0,8,4,2,0,14,172.72,177.8,170,2,0,0,60.0,448,0.2,0.6,132,1,3,17,0,0,0,2,0,0,0,2,177.8,177.8,170,30,32,0,0,4,12,-4,38,3,4,2,-5.08,0.0,-2,-2.128.571.429,371.428.571,1.257.142.857,,Red,U-DEC,,3.0,05:00,900.0
Takanori Gomi,Jon Tuck,Singapore,Blue,FALSE,Lightweight,MALE,3,2,0,0,4.057.142.857,408.571.429,714.285.714,428.571.429,85.714.286,1,4,19,0,0,0,1,1,1,0,3,180.34,185.42,155,3,0,0,3.318.181.818,308.181.818,0.0,90.909.091,45.454.545,2,7,21,0,0,1,1,2,0,0,4,170.18,177.8,155,38,32,1,0,-1,-1,3,-2,0,-1,1,10.16,7.62,6,738.961.039,714.285.714,337.662.338,,neither,SUB,Rear Naked Choke,1.0,01:12,72.0
Cyril Asker,Walt Harris,Singapore,Blue,FALSE,Heavyweight,MALE,3,0,1,0,2.283.333.333,0.34,166.666.667,0.0,0.0,1,4,12,0,0,0,0,2,0,0,2,195.58,195.58,250,0,1,0,16.0,365,0.0,0.5,0.5,1,1,2,0,0,0,0,1,0,0,1,182.88,187.96,247,31,34,0,0,0,1,-3,10,0,1,0,12.7,7.62,-3,683.333.333,166.666.667,-0.5,,neither,KO/TKO,Elbows,1.0,01:44,104.0
Alex Caceres,Rolando Dy,Singapore,Red,FALSE,Featherweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,172.72,175.26,145,2,0,0,46.125,461.875,0.75,5.625,270.625,2,9,43,0,0,2,3,0,2,0,7,177.8,185.42,145,28,26,2,0,-2,-7,9,-43,0,0,-2,-5.08,-10.16,2,-46.125,-0.75,-5.625,,neither,KO/TKO,,2.0,05:00,600.0
Justin Scoggins,Ulka Sasaki,Singapore,Blue,FALSE,Flyweight,MALE,3,1,0,0,14.0,0.41,0.6,1.2,212,1,3,10,0,0,0,0,0,2,0,2,177.8,180.34,125,1,0,0,4.142.857.143,581.428.571,428.571.429,3.142.857.143,0.72,2,3,17,0,0,0,3,1,0,0,4,170.18,167.64,125,25,27,0,0,-1,-2,0,-7,0,-1,2,7.62,12.7,-2,-2.742.857.143,171.428.571,-1.942.857.143,,neither,,,,,
Kwan Ho Kwak,Russell Doane,Singapore,Blue,FALSE,Bantamweight,MALE,3,4,0,0,1.966.666.667,416.666.667,666.666.667,1.666.666.667,221.666.667,2,4,13,0,0,1,0,0,1,0,2,170.18,177.8,135,1,0,0,53.0,0.41,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,165.1,177.8,135,27,30,-3,0,2,2,-3,10,0,0,1,05.08,0.0,-3,-3.333.333.333,666.666.667,1.666.666.667,,neither,KO/TKO,Punches,1.0,04:09,249.0
